,treatment ,lv,root,G1,G2,G3,H1,H2,H3,L1,L2,L3,WSA,pH,WHC,MWD,respiration
117,Be-Si-V,3,7.71,1.3395,1.1456,1.9532,0.0753,0.1769,0.0216,0,0.211,4.2818,39.45923306,7.21,30.6,0.693,1044.146
118,P-Si-V,3,10.37,0.5786,1.7562,1.376,0.0769,0.026,0.0242,0,0.2867,2.259,37.21164409,7.15,32.6,0.678,926.9263
119,Bi-Be-Si,3,3.88,0.6304,1.4883,1.3751,0.2052,1.2411,0.0877,0,0.3076,0,37.15136745,7.22,33.4,0.694,1417.507
120,A-P-Si,3,5.3,0.6001,1.5838,0.7646,0.1407,0.6829,0.0875,0,0.7756,1.5869,30.08820241,7.18,31.9,0.64,1547.128
121,St-Si-V,3,5.66,0.8293,1.0997,0.3231,0.2715,0.5487,0.0143,0,0.1272,2.2959,44.92775212,7.17,30.6,0.66,1967.833
122,Bi-P-Si,3,6.67,0.5958,0.5189,0.3736,0.3754,0.3844,0.2037,0.0092,0.2314,5.8183,42.2041299,7.2,26.3,0.644,1555.314
123,A-P-St,3,5.73,0.4053,0.3852,0.9571,0.1921,0.5764,0.1963,0.0299,0.1347,3.2539,37.49834137,7.2,29.2,0.668,1844.703
124,A-Bi-V,3,7.81,0.6542,1.2402,0.8375,0.0992,0.4715,0.0433,0.0643,0.1806,3.8329,35.6549982,7.09,30.8,0.65,1475.65
125,Bi-Be-V,3,5.14,2.7886,0.1701,0.6869,0.0614,0.8771,0.0395,0.0082,0.1725,3.8366,35.53048209,7.05,32.7,0.633,2034.443
126,A-Be-P-Si,4,7.37,2.1988,5.2359,3.1425,0.2267,0.4083,0.0027,0,0.1119,4.3755,38.16760171,7.13,29.5,0.677,860.2851
127,Bi-Be-P-St,4,5.63,0.3995,1.0283,0.8623,0.0432,0.4863,0.0407,0.0001,0.1624,5.8882,28.51620332,7.22,31.8,0.677,3237.38
128,Bi-P-St-Si,4,5.09,0.4595,0.0072,1.0799,0.4655,0.6466,0.0855,0,0.1537,3.8162,28.22202949,7.18,33.8,0.613,1847.148
129,Be-P-St-Si,4,9.54,0.8459,0.4221,0.8616,0.1235,0.667,0.0165,0,0.2504,2.0683,42.24384395,7.24,33.9,0.679,1445.375
130,A-Be-P-St,4,11.79,0.9841,0.5332,0.5147,0.3168,0.9857,0.0049,0.0282,0.1614,3.3116,28.22921957,7.22,29.1,0.685,2195.691
131,A-Bi-P-Si,4,6.99,0.7631,0.4531,0.8015,0.1685,0.7369,0.2809,0.084,0.2673,2.9205,28.91198044,7.18,29,0.63,2021.489
132,A-Be-St-V,4,3.09,0.6516,0.0766,0.736,0.2066,0.5244,0.0952,0.0901,0.087,4.0719,44.9134354,7,32.5,0.783,1614.46
133,Be-P-Si-V,4,10.71,0.8488,0.756,1.715,0.1493,0.8187,0.0205,0.2714,0.0418,4.2842,33.22495606,7.25,28.8,0.772,1225.354
134,Bi-St-Si-V,4,4.91,0.2483,0.2232,0.7988,0.0317,0.3657,0,0.4033,0.1796,7.0298,33.63142908,7.24,31.5,0.685,1035.956
135,Bi-P-Si-V,4,4.29,0.2913,1.7288,1.6481,0.0441,0.1713,0,0.2538,0.6088,0.2389,43.47680696,7.18,35.5,0.718,2026.555
136,A-Bi-St-Si-V,5,5.3,0.1876,0.3798,0.7347,0.2081,0.2921,0.054,0.1296,0.5847,1.9078,43.15511979,7.17,31.5,0.726,1042.973
137,A-Bi-P-St-Si,5,5.24,0.101,0,0.5708,0.0158,0.5994,0.1569,1.9259,0.0382,3.7043,39.4575678,7.22,34.2,0.711,997.9683
138,Bi-Be-P-St-V,5,3.16,0.7729,0.8148,0.5199,0.1104,0,0,0.4697,0.0494,1.7223,28.32153094,7.03,30.6,0.709,1856.781
139,A-Be-P-St-V,5,6.31,0.2876,0.7238,0.3074,0.0804,0.4448,0.5437,0.001,0.0238,5.9575,30.34426859,7.16,31.7,0.714,2794.459
140,Be-P-St-Si-V,5,6.13,0.5212,0.6112,0.4069,0.1707,0.7337,0.0181,0.0332,0.1224,6.1541,43.11401716,7.19,32.4,0.696,1111.893
141,Bi-Be-P-Si-V,5,5.17,0.9644,0.7969,5.6686,0.0818,0,0,0.2177,0.0167,3.4939,38.2221196,7.22,30.8,0.715,1280.939
142,A-Bi-Be-St-Si,5,8.68,0.3957,0.0393,1.5334,0.0356,0.757,0.0091,0.1046,0.0372,5.4682,31.02099804,7.24,31,0.699,956.3884
143,A-Be-P-Si-V,5,7.87,1.1138,1.4486,2.8467,0.0265,0.0115,0,0.0662,0.0237,3.2745,37.38359599,7.22,29.6,0.669,1037.617
144,A-Bi-Be-Si-V,5,21.17,1.3461,1.8664,1.502,0.0795,0.1026,0.0051,0.0013,0.0039,6.1971,33.43627664,7.37,31.4,0.631,1182.536
145,Bi-P-St-Si-V,5,3.47,1.1735,0.293,0.3526,0.0697,0.7557,0.0059,0.2471,0.1628,4.6943,34.41664822,7.19,30.2,0.697,1453.245
146,A-Be,2,3.01,0.8426,0.6664,1.6294,0.0996,0,0,0.6459,0.2877,1.6188,24.80583667,7.25,26.2,0.703,2377.342
147,A-Bi,2,4.18,1.8607,0.377,2.2543,0.0489,0,0,0.0579,0.3384,0.403,34.10947712,7.31,29.6,0.708,1624.084
148,A-V,2,5.93,0.3224,0.3943,3.2825,0.1335,0.058,0,0,0.3564,1.2572,26.63701507,7.18,31.9,0.657,1483.054
149,A-Si,2,5.94,2.0073,2.0545,0.832,0.0491,0.1239,0,0,0.0093,2.8947,48.901074,7.28,32.6,0.615,2210.792
150,A-St,2,5.78,0.1789,0.0574,0.5051,0.2073,0.8946,0.478,0.0319,0,4.3318,33.00063708,7.24,30,0.701,1006.494
151,A-P,2,6.01,0.2312,1.8419,2.237,0.014,0.3001,0,0.1431,0.0756,2.1252,31.1654373,7.66,30.2,0.618,1612.163
152,Si-St,2,5.08,0.186,0,0,0.2531,1.5252,0.4012,0.0173,0.0848,2.046,43.24509356,7.6,32.8,0.652,1053.732
153,Si-Be,2,6.05,1.4205,1.2812,1.37,0.0395,0.0115,0.0018,0.0067,0.24,3.114,27.13454459,7.53,32.4,0.61,901.6331
154,Si-Bi,2,3.82,1.3948,1.0855,0.8753,0.151,0,0,0,0.4179,0.917,41.46564746,7.5,31.7,0.725,1139.746
