A,Be,Bi,P,St,Si,V,treatment ,evenness,richness,root,plant,FG_G,FG_H,FG_L,WSA,pH,WHC,lv,remark,nr,dissim
1,0,0,0,0,0,0,A,0.799510201,8,4.05,3.8965,2.4039,0.5989,0.8937,37.03053116,7.22,26.7,1,1,16,0
0,0,1,0,0,0,0,Bi,0.654468332,8,5.02,5.6843,4.462,0.1351,1.0872,28.41530055,7.31,28.7,1,1,17,0
0,0,1,0,0,0,0,Bi,0.7195797,7,3.82,3.8007,3.4635,0.1019,0.2353,30.09282916,7.4,28.6,1,1,18,0
0,0,1,0,0,0,0,Bi,0.788561618,6,5.7,5.7643,4.8428,0.0108,0.9107,50.74619263,7.46,29.6,1,1,19,0
0,0,1,0,0,0,0,Bi,0.674040806,8,5,8.4891,4.415,0.2628,3.8113,28.63634397,7.47,29,1,1,20,0
0,0,1,0,0,0,0,Bi,0.888775215,7,4.92,4.7264,3.1194,0.3948,1.2122,32.58377811,7.48,25.5,1,1,21,0
0,0,1,0,0,0,0,Bi,0.714137254,7,7.46,9.8886,5.5609,0.4869,3.8408,40.37829719,7.46,30.9,1,1,22,0
0,1,0,0,0,0,0,Be,0.762766126,8,5.86,7.3221,4.1074,0.7012,2.5135,26.30612586,7.39,30,1,1,23,0
0,1,0,0,0,0,0,Be,0.695265303,7,2.17,4.8365,3.4151,0.2458,1.1756,48.70063133,7.43,33.6,1,1,24,0
0,1,0,0,0,0,0,Be,0.719898049,9,6.79,5.8169,1.6854,0.9372,3.1943,36.88446756,7.4,29.3,1,1,25,0
0,1,0,0,0,0,0,Be,0.716649918,7,5.33,9.1461,5.6027,0.5052,3.0382,34.04386235,7.31,27.4,1,1,26,0
0,1,0,0,0,0,0,Be,0.637823618,8,7.08,8.7975,1.7434,0.5814,6.4727,19.93099482,7.34,28.3,1,1,27,0
0,1,0,0,0,0,0,Be,0.758709716,8,8.14,6.1508,2.272,0.2131,3.6657,27.3141567,7.39,25.7,1,1,28,0
0,0,0,1,0,0,0,P,0.777555653,7,5.69,7.5221,3.8715,0.1486,3.502,32.075942,7.46,28,1,1,35,0
0,0,0,1,0,0,0,P,0.857750344,9,6.62,6.1106,1.1505,1.3851,3.575,31.49385914,7.53,29.2,1,1,36,0
