A,Be,Bi,P,St,Si,V,treatment ,evenness,richness,root,plant,FG_G,FG_H,FG_L,WSA,pH,WHC,lv,remark,nr,dissim
0,0,1,0,1,0,0,Bi-St,0.685559474,9,4.84,4.9512,2.0536,0.4904,2.4072,10.81306579,7.35,28.4,2,2,93,1
0,0,1,0,1,0,0,Bi-St,0.726704094,9,4.56,4.6797,1.7747,0.7381,2.1669,29.69333389,7.29,23.8,2,2,94,1
0,0,1,1,0,0,0,Bi-P,0.684941387,8,7.36,7.3262,2.6805,0.5164,4.1293,29.88385257,7.38,29.9,2,2,95,0.289913292
0,0,1,1,0,0,0,Bi-P,0.730951609,7,2.36,3.1289,2.1491,0.5034,0.4764,34.4278169,7.39,29.9,2,2,96,0.289913292
0,0,1,1,0,0,0,Bi-P,0.673594803,8,6.42,7.6289,2.6826,0.5901,4.3562,32.39800237,7.38,26.5,2,2,97,0.289913292
0,0,0,0,1,1,0,Si-St,0.726378573,9,7.25,5.9251,2.1985,1.0553,2.6713,27.19643219,7.34,30.9,2,2,98,0.42441143
0,0,0,0,1,1,0,Si-St,0.612491706,9,8.12,6.9774,2.0785,0.6081,4.2908,28.15348307,7.23,31.1,2,2,99,0.42441143
0,0,0,0,1,1,0,Si-St,0.559911527,9,6.74,7.4289,1.7885,0.8094,4.831,31.40791188,7.24,30.9,2,2,100,0.42441143
0,0,0,1,1,0,0,P-St,0.747174162,8,7.95,5.9748,2.0752,1.0812,2.8184,30.63125216,7.31,32.8,2,2,101,0.527859327
0,0,0,1,1,0,0,P-St,0.80267319,9,4.7,4.943,2.7216,0.8568,1.3646,35.61091775,7.16,30.3,2,2,102,0.527859327
0,0,0,1,1,0,0,P-St,0.4935054,9,6.08,8.8465,1.4277,1.2105,6.2083,24.15972865,7.18,29.3,2,2,103,0.527859327
0,0,0,0,1,0,1,St-V,0.476332586,8,4.55,10.3453,1.7646,0.8488,7.7319,30.63297623,7.14,29,2,2,104,0.685085118
0,0,0,0,1,0,1,St-V,0.522137601,9,6.12,6.5057,1.5002,0.5027,4.5028,31.87741106,7.11,30.8,2,2,105,0.685085118
0,0,0,0,1,0,1,St-V,0.65852329,8,5.89,5.8019,1.9422,0.4505,3.4092,22.72637757,7.13,30.1,2,2,106,0.685085118
0,0,0,0,0,1,1,Si-V,0.82405139,6,6.23,5.9496,4.6389,0.2035,1.1072,34.5676194,7.32,29.6,2,2,107,0.297743854
0,0,0,0,0,1,1,Si-V,0.630818079,9,8.9,15.6575,5.9298,0.948,8.7797,23.66315304,7.25,31.2,2,2,108,0.297743854
0,0,0,0,0,1,1,Si-V,0.757705246,7,5.23,5.4429,3.9929,0.0095,1.4405,37.85126248,7.22,32.1,2,2,109,0.297743854
0,0,0,1,0,1,0,P-Si,0.848143539,7,5.26,7.0527,3.3579,0.1702,3.5246,33.63307767,7.08,32.9,2,2,110,0.256352738
0,0,0,1,0,1,0,P-Si,0.73114591,7,6.97,7.642,4.655,0.0751,2.9119,36.27158762,7.39,33.1,2,2,111,0.256352738
0,0,0,1,0,1,0,P-Si,0.697374294,6,2.72,4.9533,4.4506,0.2517,0.251,64.33495431,7.24,35.9,2,2,112,0.256352738
0,0,0,1,0,0,1,P-V,0.831051735,8,5.04,4.8132,2.5786,0.5036,1.731,44.63889692,7.29,28.5,2,2,113,0.399615847
0,0,0,1,0,0,1,P-V,0.852086554,6,3.25,4.8652,4.0829,0.1982,0.5841,39.05764817,7.22,32.3,2,2,114,0.399615847
0,0,0,1,0,0,1,P-V,0.77196836,9,6.99,7.4186,2.3847,1.1277,3.9062,28.99413244,7.19,29,2,2,115,0.399615847
1,1,0,0,0,0,0,A-Be,0.8767736,7,3.01,5.7904,3.1384,0.0996,2.5524,24.80583667,7.25,26.2,2,2,146,0.244663759
1,0,1,0,0,0,0,A-Bi,0.709391252,7,4.18,5.3402,4.492,0.0489,0.7993,34.10947712,7.31,29.6,2,2,147,0.163729056
1,0,0,0,0,0,1,A-V,0.668603953,7,5.93,5.8043,3.9992,0.1915,1.6136,26.63701507,7.18,31.9,2,2,148,0.472865039
1,0,0,0,0,1,0,A-Si,0.721720384,7,5.94,7.9708,4.8938,0.173,2.904,48.901074,7.28,32.6,2,2,149,0.607400747
1,0,0,0,1,0,0,A-St,0.579504208,8,5.78,6.685,0.7414,1.5799,4.3637,33.00063708,7.24,30,2,2,150,0.933155889
1,0,0,1,0,0,0,A-P,0.70617026,8,6.01,6.9681,4.3101,0.3141,2.3439,31.1654373,7.66,30.2,2,2,151,0.330160913
0,0,0,0,1,1,0,Si-St,0.683172079,7,5.08,4.5136,0.186,2.1795,2.1481,43.24509356,7.6,32.8,2,2,152,0.42441143
0,1,0,0,0,1,0,Be-Si,0.659646711,9,6.05,7.4852,4.0717,0.0528,3.3607,27.13454459,7.53,32.4,2,2,153,0.364456568
0,0,1,0,0,1,0,Bi-Si,0.914035411,6,3.82,4.8415,3.3556,0.151,1.3349,41.46564746,7.5,31.7,2,2,154,0.757268951
0,0,0,1,0,1,0,P-Si,0.813200001,7,6.48,5.5131,2.5014,0.2138,2.7979,30.9554351,7.49,31.9,2,2,155,0.256352738
0,0,0,0,0,1,1,Si-V,0.810339363,6,6.16,9.3065,4.5672,0.0617,4.6776,27.86774629,7.51,27.9,2,2,156,0.297743854
0,1,0,0,1,0,0,Be-St,0.838156257,8,3.68,2.4733,1.6524,0.5474,0.2735,34.82048574,7.54,30.6,2,2,157,0.553053758
0,0,1,0,1,0,0,Bi-St,0.536493615,9,7.26,8.6016,2.4292,0.4709,5.7015,35.62252745,7.56,28.5,2,2,158,1
0,0,0,0,1,0,1,St-V,0.59488775,9,6.23,10.2471,1.0363,1.209,8.0018,33.8429645,7.44,29.1,2,2,159,0.685085118
0,0,0,1,1,0,0,P-St,0.699712651,9,8.29,6.4367,1.9141,0.8637,3.6589,27.92516866,7.57,29.4,2,2,160,0.527859327
0,1,1,0,0,0,0,Be-Bi,0.541420598,9,6.31,9.6521,2.2941,0.4134,6.9446,25.39601864,7.55,30,2,2,161,0.165237223
0,1,0,0,0,0,1,Be-V,0.691434603,8,5.28,8.8165,4.2026,0.2397,4.3742,28.07366243,7.48,30,2,2,162,0.27923389
0,1,0,1,0,0,0,Be-P,0.574671688,9,9.5,8.4045,6.9143,0.1254,1.3648,26.42860151,7.54,26,2,2,163,0
0,0,1,1,0,0,0,Bi-P,0.477080032,7,5.17,10.2455,3.237,0.1472,6.8613,29.97964894,7.55,29.9,2,2,164,0.289913292
0,0,1,0,0,0,1,Bi-V,0.614950774,7,3.64,4.515,2.856,0.0972,1.5618,29.06436907,7.48,32.1,2,2,165,0.596374232
